frame,Coord
639,"[(449.0, 339.0), (1174.5, 500.5)]"
640,"[(452.5, 341.5), (1175.5, 498.5)]"
641,"[(1176.5, 494.5), (454.5, 341.5)]"
642,"[(1185.0, 495.0)]"
643,"[(1186.5, 492.5), (623.0, 258.0)]"
644,"[(1188.5, 491.5), (620.5, 257.5)]"
645,"[(621.5, 257.5), (1188.0, 493.0)]"
646,"[(621.0, 256.0), (1189.0, 496.0)]"
647,"[(624.0, 255.0)]"
648,"[(624.0, 255.0)]"
649,"[(622.5, 256.5), (812.5, 413.5)]"
650,"[(812.0, 413.0), (624.5, 256.5)]"
651,"[(816.0, 410.0)]"
652,"[(812.5, 408.5)]"
653,"[(813.0, 406.0)]"
654,"[(819.5, 406.5)]"
655,"[(823.0, 405.0)]"
656,"[(824.0, 407.0)]"
657,"[(823.5, 408.5)]"
660,"[(313.5, 216.5)]"
663,"[(1207.0, 491.0)]"
664,"[(1206.0, 491.0), (478.0, 339.0)]"
665,"[(1202.0, 487.0), (469.5, 341.5)]"
666,"[(471.0, 341.0), (1196.5, 480.5)]"
667,"[(475.0, 339.0), (1192.0, 475.0)]"
668,"[(481.0, 338.0), (1184.0, 471.0)]"
669,"[(483.0, 339.0), (1174.5, 467.5)]"
670,"[(485.0, 341.0), (1174.5, 467.5)]"
671,"[(486.0, 340.0), (1177.0, 468.0)]"
672,"[(484.5, 340.5), (1176.5, 466.5)]"
673,"[(484.5, 338.5), (1177.0, 466.0)]"
674,"[(485.0, 339.0), (1178.0, 464.0)]"
675,"[(484.0, 340.0), (1174.0, 464.0)]"
676,"[(485.5, 342.5), (1165.5, 465.5)]"
677,"[(483.5, 345.5)]"
678,"[(480.0, 349.0)]"
679,"[(632.5, 272.5)]"
680,"[(630.0, 267.0)]"
681,"[(631.0, 270.0)]"
682,"[(630.5, 269.5)]"
683,"[(627.5, 269.5)]"
684,"[(625.5, 269.5), (825.5, 401.5)]"
685,"[(626.5, 269.5), (825.0, 397.0)]"
686,"[(624.5, 268.5), (825.5, 392.5), (349.0, 238.0)]"
687,"[(624.5, 268.5), (826.0, 390.0), (346.5, 238.5)]"
688,"[(828.0, 389.0), (624.5, 270.5), (347.0, 236.0)]"
